computer
arpanet
darpa
sabre
cryptography
rendering
learning
medicine
firmware
nerves
lead
semiconductors
electricity
interrupt
byte
transistor computer
drum memory
harwell cadet
atomic energy research establishment
royal radar establishment
ministry of defence
geoffrey dummer
washington, d.c.
jack kilby
texas instruments
microsequencer
robert noyce
fairchild semiconductor
marcian hoff
federico faggin
portable computer
tablet computer
electric typewriter
screen saver
videocassette recorder
dot matrix printer
cell phone
kiddy porn
cassette recorder
photostat machine
laser printer
computer programmer
binary code
imperative programming language
web browser
superscalar
mobile phone
ram machine
automatic teller machine
mimd
multi-core
photolithography
microwave oven
cd player
mips instruction set
harvard architecture
harvard mark i
assembly
natural language
apple
processor register
macintosh 128k
arm architecture
handheld video game
athlon 64
high-level programming language
video game console
computer software
software engineering
software bug
numerical digit
grace hopper
harvard mark ii
control unit
electrical network
logic gate
program counter
square root
floating point
real number
truth value
logical conjunction
logical disjunction
graphics processing unit
exclusive or
euclidean vector
dna computing
toxic waste
waste management
product stewardship
computer recycling
developing nation
hard drive
computer network
ibm pc compatible
optical computing
credit card
identity theft
semi automatic ground environment
embarrassingly parallel
compact disc
read-only memory
usb flash drive
sound card
vocal cords
computer speaker
graphics card
optical disc drive
hard disk drive
flash memory
machine learning
computer simulation
twos complement
shors algorithm
billiard ball computer
cellular automaton
computable function
church–turing thesis
mainframe computer
quantum computing
logic gates
abstract machine
3d computer graphics
computer architecture
computer networking
asymmetric digital subscriber line
wetware computer
world wide web
floppy drive
dell
applications
mb
gb
cd
windows
panasonic
os
cordless
